n_models,n_tasks,elapsed_lomo,elapsed_lasomo,plan
12,9,0.403,NA,multisession
13,9,0.395,NA,multisession
14,9,0.425,NA,multisession
15,9,0.43,NA,multisession
16,9,0.522,NA,multisession
17,9,0.486,NA,multisession
18,9,0.466,NA,multisession
19,9,0.494,NA,multisession
20,9,0.515,NA,multisession
21,9,0.561,NA,multisession
22,9,0.547,NA,multisession
23,9,0.635,NA,multisession
24,9,0.591,NA,multisession
25,9,0.635,NA,multisession
26,9,0.616,NA,multisession
27,9,0.639,NA,multisession
28,9,0.667,NA,multisession
29,9,0.658,NA,multisession
30,9,0.68,NA,multisession
31,9,0.738,NA,multisession
32,9,0.755,NA,multisession
33,9,0.785,NA,multisession
34,9,0.734,NA,multisession
35,9,0.758,NA,multisession
36,9,0.777,NA,multisession
37,9,0.796,NA,multisession
38,9,0.806,NA,multisession
39,9,0.857,NA,multisession
40,9,0.871,NA,multisession
41,9,0.878,NA,multisession
42,9,0.895,NA,multisession
43,9,0.901,NA,multisession
44,9,0.95,NA,multisession
45,9,0.983,NA,multisession
46,9,0.921,NA,multisession
47,9,0.99,NA,multisession
48,9,0.993,NA,multisession
49,9,0.986,NA,multisession
50,9,1.005,NA,multisession
51,9,1.027,NA,multisession
52,9,1.044,NA,multisession
53,9,1.059,NA,multisession
54,9,1.17,NA,multisession
55,9,1.081,NA,multisession
56,9,1.086,NA,multisession
57,9,1.161,NA,multisession
58,9,1.135,NA,multisession
59,9,1.146,NA,multisession
60,9,1.186,NA,multisession
61,9,1.194,NA,multisession
62,9,1.202,NA,multisession
63,9,1.293,NA,multisession
64,9,1.259,NA,multisession
65,9,1.248,NA,multisession
66,9,1.274,NA,multisession
67,9,1.285,NA,multisession
68,9,1.331,NA,multisession
69,9,1.342,NA,multisession
70,9,1.377,NA,multisession
71,9,1.348,NA,multisession
72,9,1.357,NA,multisession
73,9,1.396,NA,multisession
74,9,1.436,NA,multisession
75,9,1.434,NA,multisession
76,9,1.445,NA,multisession
77,9,1.552,NA,multisession
78,9,1.5,NA,multisession
79,9,1.496,NA,multisession
80,9,1.517,NA,multisession
81,9,1.536,NA,multisession
82,9,1.531,NA,multisession
83,9,1.593,NA,multisession
84,9,1.557,NA,multisession
85,9,1.898,NA,multisession
86,9,1.592,NA,multisession
87,9,1.582,NA,multisession
88,9,1.62,NA,multisession
89,9,1.706,NA,multisession
90,9,1.63,NA,multisession
91,9,1.846,NA,multisession
92,9,1.681,NA,multisession
93,9,1.835,NA,multisession
94,9,1.793,NA,multisession
95,9,1.861,NA,multisession
96,9,1.721,NA,multisession
97,9,1.76,NA,multisession
98,9,1.771,NA,multisession
99,9,1.808,NA,multisession
100,9,1.88,NA,multisession
11,10,0.423,NA,multisession
12,10,0.431,NA,multisession
13,10,0.392,NA,multisession
14,10,0.459,NA,multisession
15,10,0.433,NA,multisession
16,10,0.456,NA,multisession
17,10,0.47,NA,multisession
18,10,0.492,NA,multisession
19,10,0.504,NA,multisession
20,10,0.53,NA,multisession
21,10,0.549,NA,multisession
22,10,0.661,NA,multisession
23,10,0.662,NA,multisession
24,10,0.736,NA,multisession
25,10,0.716,NA,multisession
26,10,0.657,NA,multisession
27,10,0.686,NA,multisession
28,10,0.723,NA,multisession
29,10,0.684,NA,multisession
30,10,0.781,NA,multisession
31,10,0.74,NA,multisession
32,10,0.714,NA,multisession
33,10,0.802,NA,multisession
34,10,0.905,NA,multisession
35,10,0.804,NA,multisession
36,10,0.815,NA,multisession
37,10,0.847,NA,multisession
38,10,0.874,NA,multisession
39,10,0.902,NA,multisession
40,10,0.9,NA,multisession
41,10,0.936,NA,multisession
42,10,0.937,NA,multisession
43,10,0.895,NA,multisession
44,10,0.917,NA,multisession
45,10,0.93,NA,multisession
46,10,0.939,NA,multisession
47,10,0.978,NA,multisession
48,10,0.968,NA,multisession
49,10,1.035,NA,multisession
50,10,1.04,NA,multisession
51,10,1.07,NA,multisession
52,10,1.112,NA,multisession
53,10,1.035,NA,multisession
54,10,1.077,NA,multisession
55,10,1.117,NA,multisession
56,10,1.133,NA,multisession
57,10,1.24,NA,multisession
58,10,1.19,NA,multisession
59,10,1.227,NA,multisession
60,10,1.243,NA,multisession
61,10,1.292,NA,multisession
62,10,1.201,NA,multisession
63,10,1.242,NA,multisession
64,10,1.238,NA,multisession
65,10,1.258,NA,multisession
66,10,1.308,NA,multisession
67,10,1.3,NA,multisession
68,10,1.366,NA,multisession
69,10,1.368,NA,multisession
70,10,1.472,NA,multisession
71,10,1.397,NA,multisession
72,10,1.482,NA,multisession
73,10,1.4,NA,multisession
74,10,1.728,NA,multisession
75,10,1.537,NA,multisession
76,10,1.491,NA,multisession
77,10,1.47,NA,multisession
78,10,1.49,NA,multisession
79,10,1.524,NA,multisession
80,10,1.539,NA,multisession
81,10,1.862,NA,multisession
82,10,1.693,NA,multisession
83,10,1.74,NA,multisession
84,10,1.611,NA,multisession
85,10,1.919,NA,multisession
86,10,1.672,NA,multisession
87,10,2.069,NA,multisession
88,10,2.06,NA,multisession
89,10,1.758,NA,multisession
90,10,1.775,NA,multisession
91,10,1.719,NA,multisession
92,10,1.84,NA,multisession
93,10,1.793,NA,multisession
94,10,1.809,NA,multisession
95,10,2.014,NA,multisession
96,10,2.096,NA,multisession
97,10,1.814,NA,multisession
98,10,2.092,NA,multisession
99,10,2.043,NA,multisession
100,10,2.258,NA,multisession
11,20,0.694,NA,multisession
12,20,0.918,NA,multisession
13,20,0.779,NA,multisession
14,20,0.782,NA,multisession
15,20,0.858,NA,multisession
16,20,0.93,NA,multisession
17,20,0.904,NA,multisession
18,20,0.934,NA,multisession
19,20,0.95,NA,multisession
20,20,0.923,NA,multisession
21,20,1.172,NA,multisession
22,20,1.021,NA,multisession
23,20,1.023,NA,multisession
24,20,1.249,NA,multisession
25,20,1.076,NA,multisession
26,20,1.135,NA,multisession
27,20,1.103,NA,multisession
28,20,1.193,NA,multisession
29,20,1.336,NA,multisession
30,20,1.182,NA,multisession
31,20,1.266,NA,multisession
32,20,1.224,NA,multisession
33,20,1.312,NA,multisession
34,20,1.324,NA,multisession
35,20,1.546,NA,multisession
36,20,1.416,NA,multisession
37,20,1.386,NA,multisession
38,20,1.468,NA,multisession
39,20,1.657,NA,multisession
40,20,1.551,NA,multisession
41,20,1.541,NA,multisession
42,20,1.803,NA,multisession
43,20,1.647,NA,multisession
44,20,1.772,NA,multisession
45,20,1.666,NA,multisession
46,20,1.654,NA,multisession
47,20,1.695,NA,multisession
48,20,1.812,NA,multisession
49,20,1.914,NA,multisession
50,20,1.801,NA,multisession
51,20,2.014,NA,multisession
52,20,2.029,NA,multisession
53,20,2.037,NA,multisession
54,20,2.172,NA,multisession
55,20,2.125,NA,multisession
56,20,2.242,NA,multisession
57,20,2.327,NA,multisession
58,20,2.292,NA,multisession
59,20,2.284,NA,multisession
60,20,2.052,NA,multisession
61,20,2.037,NA,multisession
62,20,2.162,NA,multisession
63,20,2.221,NA,multisession
64,20,2.128,NA,multisession
65,20,2.12,NA,multisession
66,20,2.192,NA,multisession
67,20,2.515,NA,multisession
68,20,2.318,NA,multisession
69,20,2.501,NA,multisession
70,20,2.29,NA,multisession
71,20,2.364,NA,multisession
72,20,2.399,NA,multisession
73,20,2.386,NA,multisession
74,20,2.38,NA,multisession
75,20,2.637,NA,multisession
76,20,2.607,NA,multisession
77,20,2.493,NA,multisession
78,20,2.771,NA,multisession
79,20,2.563,NA,multisession
80,20,2.627,NA,multisession
81,20,2.571,NA,multisession
82,20,2.598,NA,multisession
83,20,2.915,NA,multisession
84,20,2.983,NA,multisession
85,20,2.702,NA,multisession
86,20,2.934,NA,multisession
87,20,2.836,NA,multisession
88,20,2.839,NA,multisession
89,20,3.131,NA,multisession
90,20,2.942,NA,multisession
91,20,2.951,NA,multisession
92,20,2.865,NA,multisession
93,20,2.913,NA,multisession
94,20,2.935,NA,multisession
95,20,2.96,NA,multisession
96,20,3.017,NA,multisession
97,20,3.136,NA,multisession
98,20,3.022,NA,multisession
99,20,3.042,NA,multisession
100,20,3.208,NA,multisession
11,50,1.657,NA,multisession
12,50,1.654,NA,multisession
13,50,1.724,NA,multisession
14,50,2.102,NA,multisession
15,50,1.946,NA,multisession
16,50,2.011,NA,multisession
17,50,2.103,NA,multisession
18,50,2.29,NA,multisession
19,50,2.272,NA,multisession
20,50,2.301,NA,multisession
21,50,2.371,NA,multisession
22,50,2.535,NA,multisession
23,50,2.736,NA,multisession
24,50,2.813,NA,multisession
25,50,2.77,NA,multisession
26,50,2.691,NA,multisession
27,50,2.705,NA,multisession
28,50,2.766,NA,multisession
29,50,2.857,NA,multisession
30,50,3.048,NA,multisession
31,50,2.986,NA,multisession
32,50,3.151,NA,multisession
33,50,3.411,NA,multisession
34,50,3.42,NA,multisession
35,50,3.498,NA,multisession
36,50,3.411,NA,multisession
37,50,3.601,NA,multisession
38,50,3.726,NA,multisession
39,50,4.002,NA,multisession
40,50,3.89,NA,multisession
41,50,3.872,NA,multisession
42,50,4.017,NA,multisession
43,50,3.942,NA,multisession
44,50,3.98,NA,multisession
45,50,4.134,NA,multisession
46,50,4.699,NA,multisession
47,50,4.41,NA,multisession
48,50,4.627,NA,multisession
49,50,4.371,NA,multisession
50,50,4.497,NA,multisession
51,50,4.441,NA,multisession
52,50,4.677,NA,multisession
53,50,4.613,NA,multisession
54,50,4.82,NA,multisession
55,50,5.001,NA,multisession
56,50,4.726,NA,multisession
57,50,4.991,NA,multisession
58,50,5.041,NA,multisession
59,50,5.117,NA,multisession
60,50,5.126,NA,multisession
61,50,5.075,NA,multisession
62,50,5.893,NA,multisession
63,50,6.224,NA,multisession
64,50,5.498,NA,multisession
65,50,6.017,NA,multisession
66,50,5.569,NA,multisession
67,50,5.488,NA,multisession
68,50,5.619,NA,multisession
69,50,5.642,NA,multisession
70,50,5.673,NA,multisession
71,50,5.778,NA,multisession
72,50,5.805,NA,multisession
73,50,6.344,NA,multisession
74,50,6.641,NA,multisession
75,50,6.147,NA,multisession
76,50,6.173,NA,multisession
77,50,6.828,NA,multisession
78,50,6.715,NA,multisession
79,50,6.385,NA,multisession
80,50,6.472,NA,multisession
81,50,6.508,NA,multisession
82,50,7.225,NA,multisession
83,50,7.667,NA,multisession
84,50,7.335,NA,multisession
85,50,7.026,NA,multisession
86,50,7.335,NA,multisession
87,50,7.302,NA,multisession
88,50,7.55,NA,multisession
89,50,7.693,NA,multisession
90,50,8.165,NA,multisession
91,50,7.819,NA,multisession
92,50,7.397,NA,multisession
93,50,7.768,NA,multisession
94,50,7.509,NA,multisession
95,50,7.441,NA,multisession
96,50,7.55,NA,multisession
97,50,8.511,NA,multisession
98,50,7.89,NA,multisession
99,50,8.526,NA,multisession
100,50,9.536,NA,multisession
11,100,3.562,NA,multisession
12,100,3.409,NA,multisession
13,100,3.614,NA,multisession
14,100,3.516,NA,multisession
15,100,3.605,NA,multisession
16,100,3.835,NA,multisession
17,100,3.874,NA,multisession
18,100,4.127,NA,multisession
19,100,4.631,NA,multisession
20,100,4.324,NA,multisession
21,100,4.587,NA,multisession
22,100,4.539,NA,multisession
23,100,4.721,NA,multisession
24,100,4.846,NA,multisession
25,100,5.012,NA,multisession
26,100,5.229,NA,multisession
27,100,5.517,NA,multisession
28,100,5.399,NA,multisession
29,100,5.855,NA,multisession
30,100,5.766,NA,multisession
31,100,5.871,NA,multisession
32,100,6.456,NA,multisession
33,100,6.005,NA,multisession
34,100,6.426,NA,multisession
35,100,6.351,NA,multisession
36,100,6.685,NA,multisession
37,100,6.799,NA,multisession
38,100,6.923,NA,multisession
39,100,7.212,NA,multisession
40,100,7.019,NA,multisession
41,100,7.367,NA,multisession
42,100,7.211,NA,multisession
43,100,7.436,NA,multisession
44,100,7.838,NA,multisession
45,100,8.047,NA,multisession
46,100,7.996,NA,multisession
47,100,8.048,NA,multisession
48,100,8.066,NA,multisession
49,100,8.348,NA,multisession
50,100,9.122,NA,multisession
51,100,8.464,NA,multisession
52,100,8.6,NA,multisession
53,100,10.228,NA,multisession
54,100,8.937,NA,multisession
55,100,9.517,NA,multisession
56,100,9.205,NA,multisession
57,100,9.531,NA,multisession
58,100,9.525,NA,multisession
59,100,9.475,NA,multisession
60,100,9.658,NA,multisession
61,100,9.875,NA,multisession
62,100,9.88,NA,multisession
63,100,10.006,NA,multisession
64,100,10.221,NA,multisession
65,100,10.343,NA,multisession
66,100,10.751,NA,multisession
67,100,11.096,NA,multisession
68,100,11.838,NA,multisession
69,100,11.352,NA,multisession
70,100,10.935,NA,multisession
71,100,11.58,NA,multisession
72,100,11.699,NA,multisession
73,100,11.797,NA,multisession
74,100,12.126,NA,multisession
75,100,11.691,NA,multisession
76,100,12.477,NA,multisession
77,100,13.241,NA,multisession
78,100,12.525,NA,multisession
79,100,12.534,NA,multisession
80,100,12.404,NA,multisession
81,100,13.191,NA,multisession
82,100,12.853,NA,multisession
83,100,13.02,NA,multisession
84,100,13.096,NA,multisession
85,100,13.884,NA,multisession
86,100,13.781,NA,multisession
87,100,13.557,NA,multisession
88,100,13.874,NA,multisession
89,100,13.572,NA,multisession
90,100,13.915,NA,multisession
91,100,14.254,NA,multisession
92,100,14.243,NA,multisession
93,100,14.221,NA,multisession
94,100,14.413,NA,multisession
95,100,14.538,NA,multisession
96,100,15.123,NA,multisession
97,100,15.123,NA,multisession
98,100,15.179,NA,multisession
99,100,15.064,NA,multisession
100,100,15.201,NA,multisession
2,200,3.401,NA,multisession
3,200,3.75,NA,multisession
4,200,4.011,NA,multisession
5,200,4.306,NA,multisession
6,200,4.54,NA,multisession
7,200,4.907,NA,multisession
8,200,5.234,NA,multisession
9,200,5.428,NA,multisession
10,200,5.951,NA,multisession
11,200,6.039,NA,multisession
12,200,6.184,NA,multisession
13,200,6.44,NA,multisession
14,200,6.829,NA,multisession
15,200,7.126,NA,multisession
16,200,7.273,NA,multisession
17,200,7.823,NA,multisession
18,200,7.826,NA,multisession
19,200,8.269,NA,multisession
20,200,8.693,NA,multisession
21,200,8.641,NA,multisession
22,200,8.926,NA,multisession
23,200,9.162,NA,multisession
24,200,9.518,NA,multisession
25,200,9.768,NA,multisession
26,200,10.028,NA,multisession
27,200,10.391,NA,multisession
28,200,10.608,NA,multisession
29,200,10.748,NA,multisession
30,200,11.207,NA,multisession
31,200,11.792,NA,multisession
32,200,11.783,NA,multisession
33,200,12.464,NA,multisession
34,200,12.481,NA,multisession
35,200,12.918,NA,multisession
36,200,12.902,NA,multisession
37,200,13.073,NA,multisession
38,200,13.388,NA,multisession
39,200,14.234,NA,multisession
40,200,14.001,NA,multisession
41,200,14.763,NA,multisession
42,200,14.708,NA,multisession
43,200,16.892,NA,multisession
44,200,16.155,NA,multisession
45,200,15.514,NA,multisession
46,200,16.114,NA,multisession
47,200,16.275,NA,multisession
48,200,16.44,NA,multisession
49,200,17.379,NA,multisession
50,200,16.918,NA,multisession
51,200,17.739,NA,multisession
52,200,17.641,NA,multisession
53,200,17.842,NA,multisession
54,200,18.342,NA,multisession
55,200,18.853,NA,multisession
56,200,20.279,NA,multisession
57,200,18.872,NA,multisession
58,200,18.954,NA,multisession
59,200,19.098,NA,multisession
60,200,19.879,NA,multisession
61,200,19.735,NA,multisession
62,200,19.893,NA,multisession
63,200,20.722,NA,multisession
64,200,23.433,NA,multisession
65,200,22.04,NA,multisession
66,200,22.658,NA,multisession
67,200,21.262,NA,multisession
68,200,22.932,NA,multisession
69,200,23.878,NA,multisession
70,200,23.311,NA,multisession
71,200,23.069,NA,multisession
72,200,23.61,NA,multisession
73,200,23.625,NA,multisession
74,200,23.224,NA,multisession
75,200,23.959,NA,multisession
76,200,24.428,NA,multisession
77,200,24.702,NA,multisession
78,200,24.942,NA,multisession
79,200,25.983,NA,multisession
80,200,26.508,NA,multisession
81,200,26.279,NA,multisession
82,200,27.028,NA,multisession
83,200,26.897,NA,multisession
84,200,26.25,NA,multisession
85,200,27.843,NA,multisession
86,200,27.457,NA,multisession
87,200,27.564,NA,multisession
88,200,28.167,NA,multisession
89,200,27.903,NA,multisession
90,200,29.075,NA,multisession
91,200,28.5,NA,multisession
92,200,29.566,NA,multisession
93,200,29.617,NA,multisession
94,200,29.366,NA,multisession
95,200,29.486,NA,multisession
96,200,31.202,NA,multisession
97,200,31.863,NA,multisession
98,200,33.735,NA,multisession
99,200,31.209,NA,multisession
100,200,30.956,NA,multisession
2,500,8.766,NA,multisession
3,500,9.33,NA,multisession
4,500,10.417,NA,multisession
5,500,10.934,NA,multisession
6,500,11.56,NA,multisession
7,500,12.505,NA,multisession
8,500,13.125,NA,multisession
9,500,13.49,NA,multisession
10,500,14.036,NA,multisession
11,500,15.299,NA,multisession
12,500,18.244,NA,multisession
13,500,17.776,NA,multisession
14,500,17.298,NA,multisession
15,500,17.697,NA,multisession
16,500,18.867,NA,multisession
17,500,19.635,NA,multisession
18,500,20.694,NA,multisession
19,500,21.588,NA,multisession
20,500,21.581,NA,multisession
21,500,22.862,NA,multisession
22,500,23.186,NA,multisession
23,500,23.376,NA,multisession
24,500,24.425,NA,multisession
25,500,25.603,NA,multisession
26,500,26.524,NA,multisession
27,500,26.646,NA,multisession
28,500,28.755,NA,multisession
29,500,27.478,NA,multisession
30,500,28.465,NA,multisession
31,500,29.297,NA,multisession
32,500,30.338,NA,multisession
33,500,30.943,NA,multisession
34,500,31.277,NA,multisession
35,500,31.959,NA,multisession
36,500,33.056,NA,multisession
37,500,32.802,NA,multisession
38,500,33.449,NA,multisession
39,500,34.257,NA,multisession
40,500,35.098,NA,multisession
41,500,35.618,NA,multisession
42,500,36.25,NA,multisession
43,500,36.873,NA,multisession
44,500,37.755,NA,multisession
45,500,38.751,NA,multisession
46,500,39.007,NA,multisession
47,500,39.848,NA,multisession
48,500,40.387,NA,multisession
49,500,42.779,NA,multisession
50,500,45.523,NA,multisession
51,500,46.312,NA,multisession
52,500,44.184,NA,multisession
53,500,44.958,NA,multisession
54,500,45.667,NA,multisession
55,500,46.277,NA,multisession
56,500,46.804,NA,multisession
57,500,47.516,NA,multisession
58,500,48.308,NA,multisession
59,500,49.236,NA,multisession
60,500,49.727,NA,multisession
61,500,51.074,NA,multisession
62,500,51.268,NA,multisession
63,500,51.991,NA,multisession
64,500,52.876,NA,multisession
65,500,53.391,NA,multisession
66,500,54.255,NA,multisession
67,500,55.295,NA,multisession
68,500,55.369,NA,multisession
69,500,56.51,NA,multisession
70,500,57.054,NA,multisession
71,500,58.205,NA,multisession
72,500,58.939,NA,multisession
73,500,59.202,NA,multisession
74,500,65.321,NA,multisession
75,500,70.058,NA,multisession
76,500,64.711,NA,multisession
77,500,66.443,NA,multisession
78,500,66.096,NA,multisession
79,500,64.92,NA,multisession
80,500,65.982,NA,multisession
81,500,66.909,NA,multisession
82,500,68.353,NA,multisession
83,500,66.77,NA,multisession
84,500,68.393,NA,multisession
85,500,68.968,NA,multisession
86,500,69.806,NA,multisession
87,500,74.045,NA,multisession
88,500,71.893,NA,multisession
89,500,74.816,NA,multisession
90,500,75.5,NA,multisession
91,500,73.891,NA,multisession
92,500,78.213,NA,multisession
93,500,76.771,NA,multisession
94,500,77.555,NA,multisession
95,500,83.692,NA,multisession
96,500,85.086,NA,multisession
97,500,78.311,NA,multisession
98,500,79.586,NA,multisession
99,500,83.539,NA,multisession
100,500,83.567,NA,multisession
11,5,NA,103.716,multisession
12,5,NA,398.167,multisession
13,5,NA,1587.453,multisession
14,5,NA,6620.323,multisession
15,5,NA,28006.558,multisession
10,1000,31.034,NA,multisession
20,1000,44.047,NA,multisession
50,1000,88.958,NA,multisession
100,1000,161.145,NA,multisession
10,2000,59.298,NA,multisession
20,2000,89.375,NA,multisession
50,2000,180.043,NA,multisession
100,2000,341.454,NA,multisession
10,5000,161.126,NA,multisession
20,5000,247.731,NA,multisession
50,5000,507.399,NA,multisession
100,5000,951.462,NA,multisession
10,10000,369.847,NA,multisession
20,10000,571.968,NA,multisession
50,10000,1252.735,NA,multisession
100,10000,3033.048,NA,multisession
9,5,0.571,18.978,sequential
10,5,0.55,53.699,sequential
9,10,1.16,42.435,sequential
10,10,1.183,111.179,sequential
2,20,1.486,3.049,sequential
3,20,1.598,3.423,sequential
4,20,1.701,4.63,sequential
5,20,1.886,6.54,sequential
6,20,1.988,10.559,sequential
7,20,2.058,17.765,sequential
8,20,2.104,37.209,sequential
9,20,2.394,83.048,sequential
10,20,2.482,221.376,sequential
2,50,3.789,7.608,sequential
3,50,4.246,8.983,sequential
4,50,4.124,11.024,sequential
5,50,4.409,16.766,sequential
6,50,4.889,26.688,sequential
7,50,4.77,46.105,sequential
8,50,5.175,92.547,sequential
9,50,5.399,209.458,sequential
10,50,5.967,556.769,sequential
2,100,7.033,14.93,sequential
3,100,8.326,17.769,sequential
4,100,8.646,21.902,sequential
5,100,8.855,30.982,sequential
6,100,9.059,50.969,sequential
7,100,10.493,93.986,sequential
8,100,10.091,176.866,sequential
9,100,10.72,412.904,sequential
10,100,12.103,1108.111,sequential
