n_models,n_tasks,elapsed_lomo,elapsed_lasomo,plan
6,50,1.317,9.068,multisession
7,50,1.344,13.74,multisession
8,50,1.398,27.983,multisession
9,50,1.515,69.435,multisession
10,50,1.51,226.028,multisession
2,100,1.861,5.787,multisession
3,100,1.979,6.316,multisession
4,100,2.035,7.693,multisession
5,100,2.31,9.709,multisession
6,100,2.332,15.713,multisession
7,100,2.419,31.408,multisession
8,100,3.553,55.887,multisession
9,100,2.784,135.291,multisession
10,100,2.894,402.777,multisession
11,1,0.198,NA,multisession
12,1,0.16,NA,multisession
13,1,0.137,NA,multisession
14,1,0.138,NA,multisession
15,1,0.147,NA,multisession
16,1,0.204,NA,multisession
17,1,0.149,NA,multisession
18,1,0.145,NA,multisession
19,1,0.203,NA,multisession
20,1,0.164,NA,multisession
21,1,0.166,NA,multisession
22,1,0.209,NA,multisession
23,1,0.172,NA,multisession
24,1,0.183,NA,multisession
25,1,0.187,NA,multisession
26,1,0.193,NA,multisession
27,1,0.208,NA,multisession
28,1,0.214,NA,multisession
29,1,0.208,NA,multisession
30,1,0.262,NA,multisession
31,1,0.223,NA,multisession
32,1,0.225,NA,multisession
33,1,0.225,NA,multisession
34,1,0.322,NA,multisession
35,1,0.282,NA,multisession
36,1,0.228,NA,multisession
37,1,0.234,NA,multisession
38,1,0.238,NA,multisession
39,1,0.243,NA,multisession
40,1,0.255,NA,multisession
41,1,0.263,NA,multisession
42,1,0.263,NA,multisession
43,1,0.263,NA,multisession
44,1,0.292,NA,multisession
45,1,0.334,NA,multisession
46,1,0.274,NA,multisession
47,1,0.285,NA,multisession
48,1,0.291,NA,multisession
49,1,0.335,NA,multisession
50,1,0.308,NA,multisession
51,1,0.364,NA,multisession
52,1,0.315,NA,multisession
53,1,0.314,NA,multisession
54,1,0.366,NA,multisession
55,1,0.384,NA,multisession
56,1,0.336,NA,multisession
57,1,0.355,NA,multisession
58,1,0.367,NA,multisession
59,1,0.355,NA,multisession
60,1,0.361,NA,multisession
61,1,0.382,NA,multisession
62,1,0.362,NA,multisession
63,1,0.459,NA,multisession
64,1,0.363,NA,multisession
65,1,0.464,NA,multisession
66,1,0.376,NA,multisession
67,1,0.389,NA,multisession
68,1,0.39,NA,multisession
69,1,0.39,NA,multisession
70,1,0.432,NA,multisession
71,1,0.414,NA,multisession
72,1,0.459,NA,multisession
73,1,0.417,NA,multisession
74,1,0.42,NA,multisession
75,1,0.431,NA,multisession
76,1,0.426,NA,multisession
77,1,0.47,NA,multisession
78,1,0.453,NA,multisession
79,1,0.493,NA,multisession
80,1,0.45,NA,multisession
81,1,0.488,NA,multisession
82,1,0.488,NA,multisession
83,1,0.516,NA,multisession
84,1,0.489,NA,multisession
85,1,0.481,NA,multisession
86,1,0.472,NA,multisession
87,1,0.521,NA,multisession
88,1,0.487,NA,multisession
89,1,0.508,NA,multisession
90,1,0.518,NA,multisession
91,1,0.511,NA,multisession
92,1,0.517,NA,multisession
93,1,0.565,NA,multisession
94,1,0.523,NA,multisession
95,1,0.543,NA,multisession
96,1,0.541,NA,multisession
97,1,0.586,NA,multisession
98,1,0.563,NA,multisession
99,1,0.549,NA,multisession
100,1,0.638,NA,multisession
11,2,0.186,NA,multisession
12,2,0.149,NA,multisession
13,2,0.136,NA,multisession
14,2,0.161,NA,multisession
15,2,0.203,NA,multisession
16,2,0.166,NA,multisession
17,2,0.168,NA,multisession
18,2,0.212,NA,multisession
19,2,0.166,NA,multisession
20,2,0.176,NA,multisession
21,2,0.22,NA,multisession
22,2,0.247,NA,multisession
23,2,0.215,NA,multisession
24,2,0.248,NA,multisession
25,2,0.208,NA,multisession
26,2,0.215,NA,multisession
27,2,0.219,NA,multisession
28,2,0.251,NA,multisession
29,2,0.233,NA,multisession
30,2,0.244,NA,multisession
31,2,0.243,NA,multisession
32,2,0.248,NA,multisession
33,2,0.249,NA,multisession
34,2,0.4,NA,multisession
35,2,0.25,NA,multisession
36,2,0.296,NA,multisession
37,2,0.27,NA,multisession
38,2,0.308,NA,multisession
39,2,0.282,NA,multisession
40,2,0.296,NA,multisession
41,2,0.284,NA,multisession
42,2,0.285,NA,multisession
43,2,0.355,NA,multisession
44,2,0.307,NA,multisession
45,2,0.358,NA,multisession
46,2,0.322,NA,multisession
47,2,0.368,NA,multisession
48,2,0.321,NA,multisession
49,2,0.407,NA,multisession
50,2,0.384,NA,multisession
51,2,0.377,NA,multisession
52,2,0.335,NA,multisession
53,2,0.398,NA,multisession
54,2,0.356,NA,multisession
55,2,0.406,NA,multisession
56,2,0.359,NA,multisession
57,2,0.369,NA,multisession
58,2,0.407,NA,multisession
59,2,0.502,NA,multisession
60,2,0.446,NA,multisession
61,2,0.392,NA,multisession
62,2,0.411,NA,multisession
63,2,0.476,NA,multisession
64,2,0.484,NA,multisession
65,2,0.446,NA,multisession
66,2,0.42,NA,multisession
67,2,0.426,NA,multisession
68,2,0.446,NA,multisession
69,2,0.486,NA,multisession
70,2,0.519,NA,multisession
71,2,0.471,NA,multisession
72,2,0.627,NA,multisession
73,2,0.715,NA,multisession
74,2,0.639,NA,multisession
75,2,0.537,NA,multisession
76,2,0.526,NA,multisession
77,2,0.513,NA,multisession
78,2,0.521,NA,multisession
79,2,0.597,NA,multisession
80,2,0.598,NA,multisession
81,2,0.548,NA,multisession
82,2,0.505,NA,multisession
83,2,0.519,NA,multisession
84,2,0.561,NA,multisession
85,2,0.549,NA,multisession
86,2,0.518,NA,multisession
87,2,0.513,NA,multisession
88,2,0.557,NA,multisession
89,2,0.55,NA,multisession
90,2,0.553,NA,multisession
91,2,0.637,NA,multisession
92,2,0.625,NA,multisession
93,2,0.55,NA,multisession
94,2,0.584,NA,multisession
95,2,0.635,NA,multisession
96,2,0.606,NA,multisession
97,2,0.593,NA,multisession
98,2,0.596,NA,multisession
99,2,0.657,NA,multisession
100,2,0.63,NA,multisession
11,3,0.194,NA,multisession
12,3,0.215,NA,multisession
13,3,0.209,NA,multisession
14,3,0.172,NA,multisession
15,3,0.24,NA,multisession
16,3,0.173,NA,multisession
17,3,0.215,NA,multisession
18,3,0.174,NA,multisession
19,3,0.199,NA,multisession
20,3,0.225,NA,multisession
21,3,0.213,NA,multisession
22,3,0.212,NA,multisession
23,3,0.242,NA,multisession
24,3,0.252,NA,multisession
25,3,0.223,NA,multisession
26,3,0.224,NA,multisession
27,3,0.232,NA,multisession
28,3,0.275,NA,multisession
29,3,0.256,NA,multisession
30,3,0.263,NA,multisession
31,3,0.289,NA,multisession
32,3,0.272,NA,multisession
33,3,0.313,NA,multisession
34,3,0.322,NA,multisession
35,3,0.326,NA,multisession
36,3,0.297,NA,multisession
37,3,0.301,NA,multisession
38,3,0.415,NA,multisession
39,3,0.301,NA,multisession
40,3,0.306,NA,multisession
41,3,0.325,NA,multisession
42,3,0.328,NA,multisession
43,3,0.335,NA,multisession
44,3,0.395,NA,multisession
45,3,0.323,NA,multisession
46,3,0.354,NA,multisession
47,3,0.362,NA,multisession
48,3,0.341,NA,multisession
49,3,0.388,NA,multisession
50,3,0.374,NA,multisession
51,3,0.46,NA,multisession
52,3,0.371,NA,multisession
53,3,0.504,NA,multisession
54,3,0.372,NA,multisession
55,3,0.396,NA,multisession
56,3,0.42,NA,multisession
57,3,0.471,NA,multisession
58,3,0.412,NA,multisession
59,3,0.421,NA,multisession
60,3,0.434,NA,multisession
61,3,0.425,NA,multisession
62,3,0.428,NA,multisession
63,3,0.502,NA,multisession
64,3,0.423,NA,multisession
65,3,0.43,NA,multisession
66,3,0.485,NA,multisession
67,3,0.431,NA,multisession
68,3,0.479,NA,multisession
69,3,0.46,NA,multisession
70,3,0.47,NA,multisession
71,3,0.47,NA,multisession
72,3,0.469,NA,multisession
73,3,0.482,NA,multisession
74,3,0.473,NA,multisession
75,3,0.477,NA,multisession
76,3,0.523,NA,multisession
77,3,0.526,NA,multisession
78,3,0.511,NA,multisession
79,3,0.514,NA,multisession
80,3,0.522,NA,multisession
81,3,0.532,NA,multisession
82,3,0.529,NA,multisession
83,3,0.626,NA,multisession
84,3,0.527,NA,multisession
85,3,0.531,NA,multisession
86,3,0.634,NA,multisession
87,3,0.564,NA,multisession
88,3,0.533,NA,multisession
89,3,0.566,NA,multisession
90,3,0.592,NA,multisession
91,3,0.565,NA,multisession
92,3,0.579,NA,multisession
93,3,0.64,NA,multisession
94,3,0.587,NA,multisession
95,3,0.636,NA,multisession
96,3,0.609,NA,multisession
97,3,0.614,NA,multisession
98,3,0.636,NA,multisession
99,3,0.66,NA,multisession
100,3,0.661,NA,multisession
11,4,0.223,NA,multisession
12,4,0.217,NA,multisession
13,4,0.155,NA,multisession
14,4,0.16,NA,multisession
15,4,0.193,NA,multisession
16,4,0.184,NA,multisession
17,4,0.189,NA,multisession
18,4,0.206,NA,multisession
19,4,0.201,NA,multisession
20,4,0.249,NA,multisession
21,4,0.252,NA,multisession
22,4,0.215,NA,multisession
23,4,0.21,NA,multisession
24,4,0.221,NA,multisession
25,4,0.23,NA,multisession
26,4,0.255,NA,multisession
27,4,0.272,NA,multisession
28,4,0.264,NA,multisession
29,4,0.41,NA,multisession
30,4,0.255,NA,multisession
31,4,0.311,NA,multisession
32,4,0.294,NA,multisession
33,4,0.274,NA,multisession
34,4,0.274,NA,multisession
35,4,0.315,NA,multisession
36,4,0.289,NA,multisession
37,4,0.306,NA,multisession
38,4,0.307,NA,multisession
39,4,0.352,NA,multisession
